,guuid,source,sampleid,plate_code
293,233cde47-bd88-47d2-8822-1495732210ad,HICF,HICF641,OX32_Ecol
294,23d800b8-00f8-42be-9338-a1e9e9f86919,OXFORD,L5492,OX1365_Ecol_Oxf_BLC
295,23f0ca5b-d395-43a8-8e2b-602721c1ea9b,OXFORD,H48909,OX280_Ecol
296,23f50fbe-b9e5-4a3b-a231-4aef08d6208d,APHA,MSG13-C07,OX404_Ecol
298,2423b6d9-8c98-4f31-bc21-3b7c928f0c45,HICF,HICF84_I1_E1,361_Ecol_batch15
299,242c06fb-62a2-4fcd-9a3a-770305b89c44,OXFORD,H34547,OX291_Ecol
300,24552e7b-a24c-4e78-9873-f828a11fc111,OXFORD,L30329,OX299_Ecol
301,248a74c9-0555-4d4a-b0ba-cccfd9adcade,APHA,MSG24-C14,OX406_Ecol
302,2495349a-a7a7-44d0-8248-59217b9ccdfd,OXFORD,L13434,OX319_Ecol
303,24cda9bc-e34c-4de2-8452-30689b13d57d,OXFORD,L34850,OX299_Ecol
305,24f8c363-a289-425e-bfcf-f3a96dd68d04,OXFORD,L2937,OX290_Ecol
306,250aa650-991f-480a-a30e-c7c5fec2d624,OXFORD,L29851,OX274_Ecol
307,251b4e7b-8938-4530-bd5e-98404fe1a576,OXFORD,L93591,OX1365_Ecol_Oxf_BLC
309,252b72df-4d0a-4680-82f1-645e1b868c5a,OXFORD,L30259,OX299_Ecol
310,258b6877-96c9-42e0-a410-749bd488ee24,APHA,MSG27-C11,OX1173_ECOL_APHA_Molsig
311,258ce24c-1ad1-46a3-b6be-ad80121994b9,HICF,HICF192_I1_E1,362_Mixd_batch35
312,25a0d6f0-b01a-4ecb-bc59-447bad88028e,APHA,MSG25-C11,OX406_Ecol
313,25ab3532-2e70-44bc-8bb1-cca43e1ed9fb,OXFORD,F14674,OX300_Ecol
314,25cf550d-bad3-48ec-be33-9ac407f8cdb4,OXFORD,L16613,OX319_Ecol
315,25dc15b7-c6f3-4230-8398-076a808d36fd,OXFORD,F48570,OX274_Ecol
316,25f88ff2-f062-4ead-87e4-6bfd65c6d29c,OXFORD,L2786,OX291_Ecol
317,2628e27f-ee9d-4775-8b4b-1b94ef7be6ee,OXFORD,M65626,OX319_Ecol
318,263689fa-6b68-4bd7-8fab-c6c3c241486a,APHA,MSG37-C16,OX408_Ecol
319,268ec063-4890-40f9-b784-319f8ea73f0d,OXFORD,L7559,OX1365_Ecol_Oxf_BLC
320,2694f237-b95d-4252-830c-b4e1bfb54e0a,OXFORD,W17822,OX319_Ecol
322,26d49103-a860-4efa-b730-de45482837bc,APHA,MSG28-C13_r,OX407_Ecol
323,2701a60e-44d9-48b5-a018-91b576e08898,APHA,MSG32-C14,OX407_Ecol
324,27491e7a-7769-4ada-a527-89a5b9232ae9,APHA,MSG19-C08,OX1173_ECOL_APHA_Molsig
325,274a688d-551b-4ea6-b780-df69e3ed5c78,HICF,HICF254_I1_E1,362_Mixd_batch35
326,276c8d5a-3a28-4946-ac3d-87a1a7f5c99d,OXFORD,L58778,OX289_Ecol
327,27a08a4f-540e-4c00-9c17-f47c6b932d95,OXFORD,L85876,OX280_Ecol
328,27b9224a-1eee-4478-a9b9-49002a168cd3,OXFORD,L63954,OX289_Ecol
